Series_Title,Released_Year,Genre,IMDB_Rating,Overview,No_of_Votes,Gross,Movie_Success,Average IMBD Rating by Gener,Unnamed: 9,sentiment_score,sentiment
The Shawshank Redemption,1994,Drama,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",2343110,28341469.0,Average,Row Labels,Sum of IMDB_Rating,-0.4019,Negative
The Godfather,1972,"Crime, Drama",9.2,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,1620367,134966411.0,Hit,"Action, Adventure",40.9,-0.6705,Negative
The Dark Knight,2008,"Action, Crime, Drama",9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2303232,534858444.0,Hit,"Action, Adventure, Comedy",70.9,-0.8176,Negative
The Godfather: Part II,1974,"Crime, Drama",9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",1129952,57300000.0,Average,"Action, Adventure, Drama",98.7,-0.4767,Negative
12 Angry Men,1957,"Crime, Drama",9.0,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,689845,4360000.0,Average,"Action, Adventure, Family",7.6,0.5423,Positive
The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,1642758,377845905.0,Hit,"Action, Adventure, Fantasy",49.2,-0.4019,Negative
Pulp Fiction,1994,"Crime, Drama",8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",1826188,107928762.0,Hit,"Action, Adventure, History",7.9,-0.6249,Negative
Schindler's List,1993,"Biography, Drama, History",8.9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",1213505,96898818.0,Average,"Action, Adventure, Horror",7.9,-0.5994,Negative
Inception,2010,"Action, Adventure, Sci-Fi",8.8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,2067042,292576195.0,Hit,"Action, Adventure, Mystery",7.6,-0.7717,Negative
Fight Club,1999,Drama,8.8,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",1854740,37030102.0,Average,"Action, Adventure, Romance",7.9,-0.3818,Negative
The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,1661481,315544750.0,Hit,"Action, Adventure, Sci-Fi",166.5,0.3612,Positive
Forrest Gump,1994,"Drama, Romance",8.8,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",1809221,330252182.0,Hit,"Action, Adventure, Thriller",38.7,0.7906,Positive
"Il buono, il brutto, il cattivo",1966,Western,8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,688390,6100000.0,Average,"Action, Adventure, War",7.7,-0.743,Negative
The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama",8.7,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",1485555,342551365.0,Hit,"Action, Adventure, Western",15.6,0.4019,Positive
The Matrix,1999,"Action, Sci-Fi",8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",1676426,171479930.0,Hit,"Action, Biography, Crime",15.8,-0.8402,Negative
Goodfellas,1990,"Biography, Crime, Drama",8.7,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",1020727,46836394.0,Average,"Action, Biography, Drama",47.6,-0.5423,Negative
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",8.7,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",1159315,290475067.0,Hit,"Action, Comedy, Crime",15.8,-0.4019,Negative
One Flew Over the Cuckoo's Nest,1975,Drama,8.7,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",918088,112000000.0,Hit,"Action, Comedy, Fantasy",23.3,-0.9201,Negative
